,t,k,y,u,v
53,A1101_総人口,北海道,1981年度,人,5605000
54,A1101_総人口,北海道,1982年度,人,5630000
55,A1101_総人口,北海道,1983年度,人,5656000
56,A1101_総人口,北海道,1984年度,人,5672000
57,A1101_総人口,北海道,1985年度,人,5679439
58,A1101_総人口,北海道,1986年度,人,5673000
59,A1101_総人口,北海道,1987年度,人,5660000
60,A1101_総人口,北海道,1988年度,人,5656000
61,A1101_総人口,北海道,1989年度,人,5649000
62,A1101_総人口,北海道,1990年度,人,5643647
63,A1101_総人口,北海道,1991年度,人,5650000
64,A1101_総人口,北海道,1992年度,人,5661000
65,A1101_総人口,北海道,1993年度,人,5669000
66,A1101_総人口,北海道,1994年度,人,5681000
67,A1101_総人口,北海道,1995年度,人,5692321
68,A1101_総人口,北海道,1996年度,人,5697000
69,A1101_総人口,北海道,1997年度,人,5699000
70,A1101_総人口,北海道,1998年度,人,5695000
71,A1101_総人口,北海道,1999年度,人,5689000
72,A1101_総人口,北海道,2000年度,人,5683062
73,A1101_総人口,北海道,2001年度,人,5680000
74,A1101_総人口,北海道,2002年度,人,5672000
75,A1101_総人口,北海道,2003年度,人,5663000
76,A1101_総人口,北海道,2004年度,人,5650000
77,A1101_総人口,北海道,2005年度,人,5627737
78,A1101_総人口,北海道,2006年度,人,5605000
79,A1101_総人口,北海道,2007年度,人,5579000
80,A1101_総人口,北海道,2008年度,人,5548000
81,A1101_総人口,北海道,2009年度,人,5524000
82,A1101_総人口,北海道,2010年度,人,5506419
83,A1101_総人口,北海道,2011年度,人,5488000
84,A1101_総人口,北海道,2012年度,人,5465000
85,A1101_総人口,北海道,2013年度,人,5438000
86,A1101_総人口,北海道,2014年度,人,5410000
87,A1101_総人口,北海道,2015年度,人,5381733
88,A1101_総人口,北海道,2016年度,人,5355000
89,A1101_総人口,北海道,2017年度,人,5325000
90,A1101_総人口,北海道,2018年度,人,5293000
91,A1101_総人口,北海道,2019年度,人,5259000
92,A1101_総人口,北海道,2020年度,人,5224614
93,A1101_総人口,北海道,2021年度,人,5183000
94,A1101_総人口,青森県,1975年度,人,1468646
95,A1101_総人口,青森県,1976年度,人,1484000
96,A1101_総人口,青森県,1977年度,人,1496000
97,A1101_総人口,青森県,1978年度,人,1507000
98,A1101_総人口,青森県,1979年度,人,1516000
99,A1101_総人口,青森県,1980年度,人,1523907
100,A1101_総人口,青森県,1981年度,人,1526000
101,A1101_総人口,青森県,1982年度,人,1527000
102,A1101_総人口,青森県,1983年度,人,1528000
103,A1101_総人口,青森県,1984年度,人,1527000
104,A1101_総人口,青森県,1985年度,人,1524448
105,A1101_総人口,青森県,1986年度,人,1517000
106,A1101_総人口,青森県,1987年度,人,1511000
107,A1101_総人口,青森県,1988年度,人,1502000
108,A1101_総人口,青森県,1989年度,人,1492000
109,A1101_総人口,青森県,1990年度,人,1482873
110,A1101_総人口,青森県,1991年度,人,1479000
111,A1101_総人口,青森県,1992年度,人,1476000
112,A1101_総人口,青森県,1993年度,人,1476000
113,A1101_総人口,青森県,1994年度,人,1480000
114,A1101_総人口,青森県,1995年度,人,1481663
115,A1101_総人口,青森県,1996年度,人,1483000
116,A1101_総人口,青森県,1997年度,人,1481000
117,A1101_総人口,青森県,1998年度,人,1479000
118,A1101_総人口,青森県,1999年度,人,1477000
119,A1101_総人口,青森県,2000年度,人,1475728
120,A1101_総人口,青森県,2001年度,人,1473000
121,A1101_総人口,青森県,2002年度,人,1467000
122,A1101_総人口,青森県,2003年度,人,1459000
123,A1101_総人口,青森県,2004年度,人,1448000
124,A1101_総人口,青森県,2005年度,人,1436657
125,A1101_総人口,青森県,2006年度,人,1424000
126,A1101_総人口,青森県,2007年度,人,1409000
127,A1101_総人口,青森県,2008年度,人,1395000
128,A1101_総人口,青森県,2009年度,人,1383000
129,A1101_総人口,青森県,2010年度,人,1373339
130,A1101_総人口,青森県,2011年度,人,1363000
131,A1101_総人口,青森県,2012年度,人,1350000
132,A1101_総人口,青森県,2013年度,人,1337000
133,A1101_総人口,青森県,2014年度,人,1323000
134,A1101_総人口,青森県,2015年度,人,1308265
135,A1101_総人口,青森県,2016年度,人,1295000
136,A1101_総人口,青森県,2017年度,人,1282000
137,A1101_総人口,青森県,2018年度,人,1268000
138,A1101_総人口,青森県,2019年度,人,1253000
139,A1101_総人口,青森県,2020年度,人,1237984
140,A1101_総人口,青森県,2021年度,人,1221000
141,A1101_総人口,岩手県,1975年度,人,1385563
142,A1101_総人口,岩手県,1976年度,人,1395000
143,A1101_総人口,岩手県,1977年度,人,1401000
144,A1101_総人口,岩手県,1978年度,人,1409000
145,A1101_総人口,岩手県,1979年度,人,1416000
146,A1101_総人口,岩手県,1980年度,人,1421927
147,A1101_総人口,岩手県,1981年度,人,1426000
148,A1101_総人口,岩手県,1982年度,人,1429000
149,A1101_総人口,岩手県,1983年度,人,1432000
150,A1101_総人口,岩手県,1984年度,人,1433000
151,A1101_総人口,岩手県,1985年度,人,1433611
152,A1101_総人口,岩手県,1986年度,人,1431000
153,A1101_総人口,岩手県,1987年度,人,1427000
154,A1101_総人口,岩手県,1988年度,人,1424000
155,A1101_総人口,岩手県,1989年度,人,1419000
156,A1101_総人口,岩手県,1990年度,人,1416928
157,A1101_総人口,岩手県,1991年度,人,1416000
158,A1101_総人口,岩手県,1992年度,人,1416000
159,A1101_総人口,岩手県,1993年度,人,1417000
160,A1101_総人口,岩手県,1994年度,人,1418000
161,A1101_総人口,岩手県,1995年度,人,1419505
162,A1101_総人口,岩手県,1996年度,人,1420000
163,A1101_総人口,岩手県,1997年度,人,1419000
164,A1101_総人口,岩手県,1998年度,人,1419000
165,A1101_総人口,岩手県,1999年度,人,1417000
166,A1101_総人口,岩手県,2000年度,人,1416180
167,A1101_総人口,岩手県,2001年度,人,1413000
168,A1101_総人口,岩手県,2002年度,人,1407000
169,A1101_総人口,岩手県,2003年度,人,1401000
170,A1101_総人口,岩手県,2004年度,人,1395000
171,A1101_総人口,岩手県,2005年度,人,1385041
172,A1101_総人口,岩手県,2006年度,人,1375000
173,A1101_総人口,岩手県,2007年度,人,1364000
174,A1101_総人口,岩手県,2008年度,人,1352000
175,A1101_総人口,岩手県,2009年度,人,1340000
176,A1101_総人口,岩手県,2010年度,人,1330147
177,A1101_総人口,岩手県,2011年度,人,1315000
178,A1101_総人口,岩手県,2012年度,人,1306000
179,A1101_総人口,岩手県,2013年度,人,1299000
180,A1101_総人口,岩手県,2014年度,人,1290000
181,A1101_総人口,岩手県,2015年度,人,1279594
182,A1101_総人口,岩手県,2016年度,人,1268000
183,A1101_総人口,岩手県,2017年度,人,1254000
184,A1101_総人口,岩手県,2018年度,人,1240000
185,A1101_総人口,岩手県,2019年度,人,1226000
186,A1101_総人口,岩手県,2020年度,人,1210534
187,A1101_総人口,岩手県,2021年度,人,1196000
188,A1101_総人口,宮城県,1975年度,人,1955267
189,A1101_総人口,宮城県,1976年度,人,1984000
190,A1101_総人口,宮城県,1977年度,人,2008000
191,A1101_総人口,宮城県,1978年度,人,2032000
192,A1101_総人口,宮城県,1979年度,人,2059000
193,A1101_総人口,宮城県,1980年度,人,2082320
194,A1101_総人口,宮城県,1981年度,人,2104000
195,A1101_総人口,宮城県,1982年度,人,2125000
196,A1101_総人口,宮城県,1983年度,人,2144000
197,A1101_総人口,宮城県,1984年度,人,2161000
198,A1101_総人口,宮城県,1985年度,人,2176295
199,A1101_総人口,宮城県,1986年度,人,2190000
200,A1101_総人口,宮城県,1987年度,人,2206000
201,A1101_総人口,宮城県,1988年度,人,2221000
202,A1101_総人口,宮城県,1989年度,人,2236000
203,A1101_総人口,宮城県,1990年度,人,2248558
204,A1101_総人口,宮城県,1991年度,人,2267000
205,A1101_総人口,宮城県,1992年度,人,2283000
206,A1101_総人口,宮城県,1993年度,人,2299000
207,A1101_総人口,宮城県,1994年度,人,2313000
208,A1101_総人口,宮城県,1995年度,人,2328739
209,A1101_総人口,宮城県,1996年度,人,2338000
210,A1101_総人口,宮城県,1997年度,人,2348000
211,A1101_総人口,宮城県,1998年度,人,2355000
212,A1101_総人口,宮城県,1999年度,人,2360000
213,A1101_総人口,宮城県,2000年度,人,2365320
214,A1101_総人口,宮城県,2001年度,人,2369000
215,A1101_総人口,宮城県,2002年度,人,2369000
216,A1101_総人口,宮城県,2003年度,人,2369000
217,A1101_総人口,宮城県,2004年度,人,2366000
218,A1101_総人口,宮城県,2005年度,人,2360218
219,A1101_総人口,宮城県,2006年度,人,2358000
220,A1101_総人口,宮城県,2007年度,人,2354000
221,A1101_総人口,宮城県,2008年度,人,2349000
222,A1101_総人口,宮城県,2009年度,人,2348000
223,A1101_総人口,宮城県,2010年度,人,2348165
224,A1101_総人口,宮城県,2011年度,人,2326000
225,A1101_総人口,宮城県,2012年度,人,2329000
226,A1101_総人口,宮城県,2013年度,人,2333000
227,A1101_総人口,宮城県,2014年度,人,2335000
228,A1101_総人口,宮城県,2015年度,人,2333899
229,A1101_総人口,宮城県,2016年度,人,2332000
230,A1101_総人口,宮城県,2017年度,人,2326000
231,A1101_総人口,宮城県,2018年度,人,2320000
232,A1101_総人口,宮城県,2019年度,人,2312000
233,A1101_総人口,宮城県,2020年度,人,2301996
234,A1101_総人口,宮城県,2021年度,人,2290000
235,A1101_総人口,秋田県,1975年度,人,1232481
236,A1101_総人口,秋田県,1976年度,人,1239000
237,A1101_総人口,秋田県,1977年度,人,1245000
238,A1101_総人口,秋田県,1978年度,人,1250000
239,A1101_総人口,秋田県,1979年度,人,1254000
240,A1101_総人口,秋田県,1980年度,人,1256745
241,A1101_総人口,秋田県,1981年度,人,1259000
242,A1101_総人口,秋田県,1982年度,人,1258000
243,A1101_総人口,秋田県,1983年度,人,1256000
244,A1101_総人口,秋田県,1984年度,人,1255000
245,A1101_総人口,秋田県,1985年度,人,1254032
246,A1101_総人口,秋田県,1986年度,人,1249000
247,A1101_総人口,秋田県,1987年度,人,1244000
248,A1101_総人口,秋田県,1988年度,人,1238000
249,A1101_総人口,秋田県,1989年度,人,1232000
250,A1101_総人口,秋田県,1990年度,人,1227478
251,A1101_総人口,秋田県,1991年度,人,1223000
252,A1101_総人口,秋田県,1992年度,人,1220000
253,A1101_総人口,秋田県,1993年度,人,1217000
254,A1101_総人口,秋田県,1994年度,人,1216000
255,A1101_総人口,秋田県,1995年度,人,1213667
256,A1101_総人口,秋田県,1996年度,人,1210000
257,A1101_総人口,秋田県,1997年度,人,1205000
258,A1101_総人口,秋田県,1998年度,人,1200000
259,A1101_総人口,秋田県,1999年度,人,1195000
260,A1101_総人口,秋田県,2000年度,人,1189279
261,A1101_総人口,秋田県,2001年度,人,1183000
262,A1101_総人口,秋田県,2002年度,人,1175000
263,A1101_総人口,秋田県,2003年度,人,1165000
264,A1101_総人口,秋田県,2004年度,人,1156000
265,A1101_総人口,秋田県,2005年度,人,1145501
266,A1101_総人口,秋田県,2006年度,人,1134000
267,A1101_総人口,秋田県,2007年度,人,1121000
268,A1101_総人口,秋田県,2008年度,人,1109000
269,A1101_総人口,秋田県,2009年度,人,1097000
270,A1101_総人口,秋田県,2010年度,人,1085997
271,A1101_総人口,秋田県,2011年度,人,1075000
272,A1101_総人口,秋田県,2012年度,人,1063000
273,A1101_総人口,秋田県,2013年度,人,1050000
274,A1101_総人口,秋田県,2014年度,人,1037000
275,A1101_総人口,秋田県,2015年度,人,1023119
276,A1101_総人口,秋田県,2016年度,人,1011000
277,A1101_総人口,秋田県,2017年度,人,999000
278,A1101_総人口,秋田県,2018年度,人,985000
279,A1101_総人口,秋田県,2019年度,人,972000
280,A1101_総人口,秋田県,2020年度,人,959502
281,A1101_総人口,秋田県,2021年度,人,945000
282,A1101_総人口,山形県,1975年度,人,1220302
283,A1101_総人口,山形県,1976年度,人,1227000
284,A1101_総人口,山形県,1977年度,人,1234000
285,A1101_総人口,山形県,1978年度,人,1241000
286,A1101_総人口,山形県,1979年度,人,1247000
287,A1101_総人口,山形県,1980年度,人,1251917
288,A1101_総人口,山形県,1981年度,人,1255000
289,A1101_総人口,山形県,1982年度,人,1257000
290,A1101_総人口,山形県,1983年度,人,1258000
291,A1101_総人口,山形県,1984年度,人,1260000
292,A1101_総人口,山形県,1985年度,人,1261662
293,A1101_総人口,山形県,1986年度,人,1262000
294,A1101_総人口,山形県,1987年度,人,1262000
295,A1101_総人口,山形県,1988年度,人,1262000
296,A1101_総人口,山形県,1989年度,人,1260000
297,A1101_総人口,山形県,1990年度,人,1258390
298,A1101_総人口,山形県,1991年度,人,1257000
299,A1101_総人口,山形県,1992年度,人,1257000
300,A1101_総人口,山形県,1993年度,人,1256000
301,A1101_総人口,山形県,1994年度,人,1256000
302,A1101_総人口,山形県,1995年度,人,1256958
303,A1101_総人口,山形県,1996年度,人,1255000
304,A1101_総人口,山形県,1997年度,人,1253000
305,A1101_総人口,山形県,1998年度,人,1251000
306,A1101_総人口,山形県,1999年度,人,1247000
307,A1101_総人口,山形県,2000年度,人,1244147
308,A1101_総人口,山形県,2001年度,人,1241000
309,A1101_総人口,山形県,2002年度,人,1236000
310,A1101_総人口,山形県,2003年度,人,1230000
311,A1101_総人口,山形県,2004年度,人,1224000
312,A1101_総人口,山形県,2005年度,人,1216181
313,A1101_総人口,山形県,2006年度,人,1207000
314,A1101_総人口,山形県,2007年度,人,1198000
315,A1101_総人口,山形県,2008年度,人,1188000
316,A1101_総人口,山形県,2009年度,人,1178000
317,A1101_総人口,山形県,2010年度,人,1168924
318,A1101_総人口,山形県,2011年度,人,1162000
319,A1101_総人口,山形県,2012年度,人,1153000
320,A1101_総人口,山形県,2013年度,人,1144000
321,A1101_総人口,山形県,2014年度,人,1134000
322,A1101_総人口,山形県,2015年度,人,1123891
323,A1101_総人口,山形県,2016年度,人,1114000
324,A1101_総人口,山形県,2017年度,人,1103000
325,A1101_総人口,山形県,2018年度,人,1092000
326,A1101_総人口,山形県,2019年度,人,1080000
327,A1101_総人口,山形県,2020年度,人,1068027
328,A1101_総人口,山形県,2021年度,人,1055000
329,A1101_総人口,福島県,1975年度,人,1970616
330,A1101_総人口,福島県,1976年度,人,1984000
331,A1101_総人口,福島県,1977年度,人,1998000
332,A1101_総人口,福島県,1978年度,人,2012000
333,A1101_総人口,福島県,1979年度,人,2023000
334,A1101_総人口,福島県,1980年度,人,2035272
335,A1101_総人口,福島県,1981年度,人,2043000
336,A1101_総人口,福島県,1982年度,人,2052000
337,A1101_総人口,福島県,1983年度,人,2061000
338,A1101_総人口,福島県,1984年度,人,2071000
339,A1101_総人口,福島県,1985年度,人,2080304
340,A1101_総人口,福島県,1986年度,人,2085000
341,A1101_総人口,福島県,1987年度,人,2091000
342,A1101_総人口,福島県,1988年度,人,2095000
343,A1101_総人口,福島県,1989年度,人,2100000
344,A1101_総人口,福島県,1990年度,人,2104058
345,A1101_総人口,福島県,1991年度,人,2109000
346,A1101_総人口,福島県,1992年度,人,2116000
347,A1101_総人口,福島県,1993年度,人,2123000
348,A1101_総人口,福島県,1994年度,人,2129000
349,A1101_総人口,福島県,1995年度,人,2133592
350,A1101_総人口,福島県,1996年度,人,2134000
351,A1101_総人口,福島県,1997年度,人,2134000
352,A1101_総人口,福島県,1998年度,人,2132000
353,A1101_総人口,福島県,1999年度,人,2129000
354,A1101_総人口,福島県,2000年度,人,2126935
355,A1101_総人口,福島県,2001年度,人,2124000
356,A1101_総人口,福島県,2002年度,人,2118000
357,A1101_総人口,福島県,2003年度,人,2110000
358,A1101_総人口,福島県,2004年度,人,2102000
359,A1101_総人口,福島県,2005年度,人,2091319
360,A1101_総人口,福島県,2006年度,人,2080000
361,A1101_総人口,福島県,2007年度,人,2067000
362,A1101_総人口,福島県,2008年度,人,2054000
363,A1101_総人口,福島県,2009年度,人,2041000
364,A1101_総人口,福島県,2010年度,人,2029064
365,A1101_総人口,福島県,2011年度,人,1988000
366,A1101_総人口,福島県,2012年度,人,1957000
367,A1101_総人口,福島県,2013年度,人,1940000
368,A1101_総人口,福島県,2014年度,人,1927000
369,A1101_総人口,福島県,2015年度,人,1914039
370,A1101_総人口,福島県,2016年度,人,1903000
371,A1101_総人口,福島県,2017年度,人,1886000
372,A1101_総人口,福島県,2018年度,人,1869000
373,A1101_総人口,福島県,2019年度,人,1852000
374,A1101_総人口,福島県,2020年度,人,1833152
375,A1101_総人口,福島県,2021年度,人,1812000
376,A1101_総人口,茨城県,1975年度,人,2342198
377,A1101_総人口,茨城県,1976年度,人,2380000
378,A1101_総人口,茨城県,1977年度,人,2417000
379,A1101_総人口,茨城県,1978年度,人,2463000
380,A1101_総人口,茨城県,1979年度,人,2510000
381,A1101_総人口,茨城県,1980年度,人,2558007
382,A1101_総人口,茨城県,1981年度,人,2595000
383,A1101_総人口,茨城県,1982年度,人,2636000
384,A1101_総人口,茨城県,1983年度,人,2670000
385,A1101_総人口,茨城県,1984年度,人,2698000
386,A1101_総人口,茨城県,1985年度,人,2725005
387,A1101_総人口,茨城県,1986年度,人,2746000
388,A1101_総人口,茨城県,1987年度,人,2769000
389,A1101_総人口,茨城県,1988年度,人,2795000
390,A1101_総人口,茨城県,1989年度,人,2822000
391,A1101_総人口,茨城県,1990年度,人,2845382
392,A1101_総人口,茨城県,1991年度,人,2871000
393,A1101_総人口,茨城県,1992年度,人,2898000
394,A1101_総人口,茨城県,1993年度,人,2920000
395,A1101_総人口,茨城県,1994年度,人,2940000
396,A1101_総人口,茨城県,1995年度,人,2955530
397,A1101_総人口,茨城県,1996年度,人,2966000
398,A1101_総人口,茨城県,1997年度,人,2973000
399,A1101_総人口,茨城県,1998年度,人,2980000
400,A1101_総人口,茨城県,1999年度,人,2981000
401,A1101_総人口,茨城県,2000年度,人,2985676
402,A1101_総人口,茨城県,2001年度,人,2990000
403,A1101_総人口,茨城県,2002年度,人,2987000
404,A1101_総人口,茨城県,2003年度,人,2985000
405,A1101_総人口,茨城県,2004年度,人,2982000
406,A1101_総人口,茨城県,2005年度,人,2975167
407,A1101_総人口,茨城県,2006年度,人,2974000
408,A1101_総人口,茨城県,2007年度,人,2973000
409,A1101_総人口,茨城県,2008年度,人,2971000
410,A1101_総人口,茨城県,2009年度,人,2970000
411,A1101_総人口,茨城県,2010年度,人,2969770
412,A1101_総人口,茨城県,2011年度,人,2960000
413,A1101_総人口,茨城県,2012年度,人,2947000
414,A1101_総人口,茨城県,2013年度,人,2937000
415,A1101_総人口,茨城県,2014年度,人,2927000
416,A1101_総人口,茨城県,2015年度,人,2916976
417,A1101_総人口,茨城県,2016年度,人,2910000
418,A1101_総人口,茨城県,2017年度,人,2902000
419,A1101_総人口,茨城県,2018年度,人,2892000
420,A1101_総人口,茨城県,2019年度,人,2879000
421,A1101_総人口,茨城県,2020年度,人,2867009
422,A1101_総人口,茨城県,2021年度,人,2852000
423,A1101_総人口,栃木県,1975年度,人,1698003
424,A1101_総人口,栃木県,1976年度,人,1717000
425,A1101_総人口,栃木県,1977年度,人,1736000
426,A1101_総人口,栃木県,1978年度,人,1753000
427,A1101_総人口,栃木県,1979年度,人,1775000
428,A1101_総人口,栃木県,1980年度,人,1792201
429,A1101_総人口,栃木県,1981年度,人,1807000
430,A1101_総人口,栃木県,1982年度,人,1822000
431,A1101_総人口,栃木県,1983年度,人,1835000
432,A1101_総人口,栃木県,1984年度,人,1850000
433,A1101_総人口,栃木県,1985年度,人,1866066
434,A1101_総人口,栃木県,1986年度,人,1880000
435,A1101_総人口,栃木県,1987年度,人,1895000
436,A1101_総人口,栃木県,1988年度,人,1908000
437,A1101_総人口,栃木県,1989年度,人,1921000
438,A1101_総人口,栃木県,1990年度,人,1935168
439,A1101_総人口,栃木県,1991年度,人,1948000
440,A1101_総人口,栃木県,1992年度,人,1959000
441,A1101_総人口,栃木県,1993年度,人,1969000
442,A1101_総人口,栃木県,1994年度,人,1977000
443,A1101_総人口,栃木県,1995年度,人,1984390
444,A1101_総人口,栃木県,1996年度,人,1991000
445,A1101_総人口,栃木県,1997年度,人,1996000
446,A1101_総人口,栃木県,1998年度,人,2001000
447,A1101_総人口,栃木県,1999年度,人,2003000
448,A1101_総人口,栃木県,2000年度,人,2004817
449,A1101_総人口,栃木県,2001年度,人,2011000
450,A1101_総人口,栃木県,2002年度,人,2012000
451,A1101_総人口,栃木県,2003年度,人,2014000
452,A1101_総人口,栃木県,2004年度,人,2016000
453,A1101_総人口,栃木県,2005年度,人,2016631
454,A1101_総人口,栃木県,2006年度,人,2016000
455,A1101_総人口,栃木県,2007年度,人,2016000
456,A1101_総人口,栃木県,2008年度,人,2015000
457,A1101_総人口,栃木県,2009年度,人,2011000
458,A1101_総人口,栃木県,2010年度,人,2007683
459,A1101_総人口,栃木県,2011年度,人,2000000
460,A1101_総人口,栃木県,2012年度,人,1992000
461,A1101_総人口,栃木県,2013年度,人,1986000
462,A1101_総人口,栃木県,2014年度,人,1980000
463,A1101_総人口,栃木県,2015年度,人,1974255
464,A1101_総人口,栃木県,2016年度,人,1969000
465,A1101_総人口,栃木県,2017年度,人,1962000
466,A1101_総人口,栃木県,2018年度,人,1953000
467,A1101_総人口,栃木県,2019年度,人,1943000
468,A1101_総人口,栃木県,2020年度,人,1933146
469,A1101_総人口,栃木県,2021年度,人,1921000
470,A1101_総人口,群馬県,1975年度,人,1756480
471,A1101_総人口,群馬県,1976年度,人,1778000
472,A1101_総人口,群馬県,1977年度,人,1799000
473,A1101_総人口,群馬県,1978年度,人,1817000
474,A1101_総人口,群馬県,1979年度,人,1833000
475,A1101_総人口,群馬県,1980年度,人,1848562
476,A1101_総人口,群馬県,1981年度,人,1864000
477,A1101_総人口,群馬県,1982年度,人,1879000
478,A1101_総人口,群馬県,1983年度,人,1893000
479,A1101_総人口,群馬県,1984年度,人,1908000
480,A1101_総人口,群馬県,1985年度,人,1921259
481,A1101_総人口,群馬県,1986年度,人,1931000
482,A1101_総人口,群馬県,1987年度,人,1941000
483,A1101_総人口,群馬県,1988年度,人,1949000
484,A1101_総人口,群馬県,1989年度,人,1959000
485,A1101_総人口,群馬県,1990年度,人,1966265
486,A1101_総人口,群馬県,1991年度,人,1974000
487,A1101_総人口,群馬県,1992年度,人,1984000
488,A1101_総人口,群馬県,1993年度,人,1990000
489,A1101_総人口,群馬県,1994年度,人,1996000
490,A1101_総人口,群馬県,1995年度,人,2003540
491,A1101_総人口,群馬県,1996年度,人,2009000
492,A1101_総人口,群馬県,1997年度,人,2013000
493,A1101_総人口,群馬県,1998年度,人,2017000
494,A1101_総人口,群馬県,1999年度,人,2020000
495,A1101_総人口,群馬県,2000年度,人,2024852
496,A1101_総人口,群馬県,2001年度,人,2029000
497,A1101_総人口,群馬県,2002年度,人,2030000
498,A1101_総人口,群馬県,2003年度,人,2030000
499,A1101_総人口,群馬県,2004年度,人,2027000
500,A1101_総人口,群馬県,2005年度,人,2024135
501,A1101_総人口,群馬県,2006年度,人,2022000
502,A1101_総人口,群馬県,2007年度,人,2020000
503,A1101_総人口,群馬県,2008年度,人,2017000
504,A1101_総人口,群馬県,2009年度,人,2014000
505,A1101_総人口,群馬県,2010年度,人,2008068
506,A1101_総人口,群馬県,2011年度,人,2001000
507,A1101_総人口,群馬県,2012年度,人,1994000
508,A1101_総人口,群馬県,2013年度,人,1986000
509,A1101_総人口,群馬県,2014年度,人,1979000
510,A1101_総人口,群馬県,2015年度,人,1973115
511,A1101_総人口,群馬県,2016年度,人,1969000
512,A1101_総人口,群馬県,2017年度,人,1963000
513,A1101_総人口,群馬県,2018年度,人,1957000
514,A1101_総人口,群馬県,2019年度,人,1949000
515,A1101_総人口,群馬県,2020年度,人,1939110
516,A1101_総人口,群馬県,2021年度,人,1927000
517,A1101_総人口,埼玉県,1975年度,人,4821340
518,A1101_総人口,埼玉県,1976年度,人,4964000
519,A1101_総人口,埼玉県,1977年度,人,5091000
520,A1101_総人口,埼玉県,1978年度,人,5208000
521,A1101_総人口,埼玉県,1979年度,人,5318000
522,A1101_総人口,埼玉県,1980年度,人,5420480
523,A1101_総人口,埼玉県,1981年度,人,5520000
524,A1101_総人口,埼玉県,1982年度,人,5615000
525,A1101_総人口,埼玉県,1983年度,人,5700000
526,A1101_総人口,埼玉県,1984年度,人,5784000
527,A1101_総人口,埼玉県,1985年度,人,5863678
528,A1101_総人口,埼玉県,1986年度,人,5954000
529,A1101_総人口,埼玉県,1987年度,人,6071000
530,A1101_総人口,埼玉県,1988年度,人,6195000
531,A1101_総人口,埼玉県,1989年度,人,6308000
532,A1101_総人口,埼玉県,1990年度,人,6405319
533,A1101_総人口,埼玉県,1991年度,人,6486000
534,A1101_総人口,埼玉県,1992年度,人,6567000
535,A1101_総人口,埼玉県,1993年度,人,6640000
536,A1101_総人口,埼玉県,1994年度,人,6703000
537,A1101_総人口,埼玉県,1995年度,人,6759311
538,A1101_総人口,埼玉県,1996年度,人,6804000
539,A1101_総人口,埼玉県,1997年度,人,6841000
540,A1101_総人口,埼玉県,1998年度,人,6877000
541,A1101_総人口,埼玉県,1999年度,人,6906000
542,A1101_総人口,埼玉県,2000年度,人,6938006
543,A1101_総人口,埼玉県,2001年度,人,6977000
544,A1101_総人口,埼玉県,2002年度,人,7000000
545,A1101_総人口,埼玉県,2003年度,人,7028000
546,A1101_総人口,埼玉県,2004年度,人,7046000
